Lat            Lon            Distance       Elevation      
                              (miles)        (ft)           
60.871752      4.449427       0              0              
61.111497      5.150669       28.757         0              
61.058376      5.386875       37.462         0              
61.145967      5.940308       56.913         0              
61.094896      6.346802       70.933         0              
61.124752      6.563782       78.466         0              
61.186367      6.577515       82.75          0              
61.165842      6.842560       91.694         0              
61.096887      6.929078       97.266         0              
61.123426      7.103486       103.372        0              
61.155906      7.233948       108.269        0              
61.143978      7.350678       112.248        0              
61.187152      7.409730       115.823        0              
61.299467      7.295747       124.461        0              
61.352841      7.382264       129.135        0              
61.433799      7.473803       135.498        0              
61.485633      7.585383       140.637        0              
