Lat            Lon            Distance       Elevation      
                              (miles)        (ft)           
61.485633      7.585383       0              0              
61.433799      7.473803       5.139          0              
61.352841      7.382264       11.502         0              
61.299467      7.295747       16.175         0              
61.187152      7.409730       24.814         0              
61.143978      7.350678       28.388         0              
61.155906      7.233948       32.367         0              
61.123426      7.103486       37.264         0              
61.096887      6.929078       43.37          0              
61.165842      6.842560       48.942         0              
61.186367      6.577515       57.887         0              
61.124752      6.563782       62.17          0              
61.094896      6.346802       69.704         0              
61.145967      5.940308       83.724         0              
61.058376      5.386875       103.175        0              
61.111497      5.150669       111.88         0              
60.871752      4.449427       140.637        0              
